text	label
这位深具名望的新领袖和他昔日在法学院的同窗，也就是他的妻子左丽卡住在中产阶级的贝尔格勒公寓，夫妻俩人养了两只猫跟一只狗。	[]
对于目前行踪不明的米洛舍维奇则是出生在塞尔维亚的中部工业城，父亲是一位神学家，母亲是一位老师，但是他的母亲在米洛舍维奇年青的时候就已经自杀去逝了。	[21, 4, 22]
米洛舍维奇在1964年从贝尔格勒法学院毕业以后就加入了共产党，寻着南斯拉夫共党政权的传统权力管道，一步步往上升。	[]
米洛舍维奇后来在党内的势力可以说是扶摇直上，经历过许多的企业要职，其中还包瓜了出任主要的国营银行总裁。	[30]
一直到了1987年米洛舍维奇利用一次反对共党领袖石坦力的机会，运用他的政治权力扩大影响力。	[]
而在一个月以后，石坦力遭到绑架，从此下落不明。	[]
在南斯拉夫联邦逐渐瓦解的同时，米洛舍维奇运用塞尔维亚的民主情绪，在1989年当选为塞尔维亚总统。	[27]
而他主张的塞尔维亚至上观念，也导致克罗埃西亚、斯洛维尼亚、波斯尼亚和科索沃的战火连连，人民生活民不聊生。	[4]
根据目前最新的报导，反对党指出，米洛舍维奇现在藏匿在塞尔维亚东南部的边界地带，而且有可能做困受之斗，发动最后一波的反击。	[]
以上是由编译吴明康为您做的报导。	[]
总统府在陈水扁总统就任以来在双十国庆之前的8号星期日首度开放参观，陈总统亲自担任导游，要民众把自己当主人，在总统府走来走去。	[30]
他也表示总统不是真命天子，民众才是国家的老板。	[]
请听记者谢仁园的报道。	[]
陈水扁总统就职后总统府8号首度开放民众参观。	[30]
上午8点左右，陈总统亲自迎接第一批参观的民众。	[]
陈总统表示，今天大家就是把自己当做主人在总统府走来走去。	[]
他表示总统府曾经森严的令人生畏，也曾遭战火摧残，黯然失色，如今则是敞开大门，亲和的拥抱人民。	[]
为揭开总统府的神秘面纱，总统府内特别推出总统府的故事、陈总统民主外交友谊之旅，及原著民工艺三项特展。	[]
府外则有包瓜戏团、交响乐表演义卖的“全家出游总统府，欢欣鼓舞庆双十”活动，吸引了大批的人潮。	[26]
稍后陈总统出现在户外广场，他说：“在这个广场上有很多感触要和大家说。”	[]
陈总统表示，对一个台南小孩来说这是一个永远只能在电视上看到，神圣不可侵犯的地方。	[]
长大了来到台北念书、工作，这是一个只有元旦升旗、双十阅兵或是假日写生的地方。	[26]
等他更长大了一点，总统府前广场路大地宽，是示威、抗议的好场所。	[5, 5]
陈总统说，现在面前这条等一下可以滚大球的马路就变成了凯达格兰大道。	[]
“等我再长大了一点，总统府前广场路大地宽，是示威、抗议的好场所。	[5, 5]
等我再长大了一点，我们的年青朋友到这里来跳舞，现在这条各位等一下可以滚大球的大马路就变成了凯达格兰大道。”	[26]
陈总统进一步说：“现在是民主时代，做总统大家都有机会。	[]
要做总统相信不能有过去那种真命天子的封建落后观念，民主时代需要人民的支持，权力是来自总统的头家——国家的主人。”	[]
陪同陈总统到户外广场的还有副总统吕秀莲、行政院文件会主委陈利修等人。	[]
《台北国际之声》记者谢仁园台北报导。	[]
在国际焦点新闻方面。	[]
叙利亚在8号重申他支持黎巴嫩的民兵组织真主党，叙利亚并且声称他不会屈服于以色列不负责任的威胁。	[]
叙利亚官员警告说，中东地区目前情形危急。	[]
官员并且批评以色列对叙利亚、巴勒斯坦、以及黎巴嫩的侵略。	[4]
而叙利亚执政党的报纸也呼吁国际社会进行紧急干预，结束以色列的进一步入侵。	[4]
以色列士兵7号在以色列和黎巴嫩的边界对一群扔石头的巴勒斯坦示威者开火，结果造成两名巴勒斯坦人丧生和10多人受伤。	[4, 4, 22, 24]
真主党对于是飞弹攻击以色列的奇巴农场区域，并且狭持了3名以色列士兵。	[4]
以色列国防部表示，如果边界暴力活动持续下去，叙利亚将成为以色列报复的目标。	[]
巴拿马总统莫斯科索在15号召开记者会，公开谴责哥伦比亚武装分子的暴行是犯罪举动。	[4]
哥伦比亚武装分子日前越过边境，在巴拿马大林省杀害一名12岁儿童并打伤12人，伤者中有3名警察。	[26, 22, 4, 24]
莫斯科索非常愤怒地指责哥国武装团体的暴行并下令警察署立刻加派警力前往边境加强保护。	[4, 26]
中国大陆第5次大规模人口普查将于11月1号展开，这次普查规定私生子女登记普查之后便可以入户口，引发了广州出现了离婚潮，不少偷养私生子的男子纷纷要求与原配离婚。	[21, 23]
香港《民报》20号报道，广州市妇联日前接待两名投诉妇女，虽然这两名妇女素不相识，但遭遇却十分的相似，也就是平常很乖的丈夫突然提出了离婚，理由是在外面偷养了私生子。	[6, 23, 21]
两名妇女认为丈夫包二奶已非一、两年，突然提出离婚就是因为人口普查有机可趁，想趁机为非婚生子女报户口，再弃旧娶新，二奶变大婆。	[23, 21, 25]
广州各级妇联近来接获了许多投诉丈夫包二奶的案例，而且不少的家庭矛盾迅速激化，专家们呼吁妻子要有危机意识和自我保护的意识，运用法律手段维护子女以及自己的合法权益。	[]
越南湄公河地区最近因为连续豪雨造成了300多人死亡，中华民国驻教廷大使馆20号响应教廷人道关怀号召，透过意兴委员会主席高德士总主教代表政府捐赠2500美元供作救助水灾难民。	[22, 31]
日前梵蒂冈国际广播电台报道指出，越南湄公河地区因为连续豪雨造成300多人死亡，其中儿童占了236人，预请国际社会救助。	[22]
为了响应教廷人道关怀号召，中华民国驻教廷大使馆特别透过教廷意兴委员会主席高德士总主教代表中华民国政府捐赠2500美元，供作救助水灾难民之用。	[31]
教廷正义及和平委员会主席阮文顺总主教以及越南地区主教团主席、书记主教在获知之后都向我国政府和教廷大使馆表达了感谢之意。	[]
根据交通部今天公布的最新统计资料，香港、澳门、东京以及曼谷是台湾目前最热门的国际航线，交通部统计处今天公布今年1到8月我国国际机场营运与国外机场比较分析，中正机场载客量高达1124万人次，比去年同期增长7.5%，运货量高达92万公吨，比去年同期增加了16.9％，成长率是历年新高。	[]
至于1到8月，机场国际航线客运量以香港385万人居次，其次是东京航线，125万人次，第三是曼谷航线，109万人次，第四是澳门，106万人次。	[]
高雄国际机场今年1到8月客运量有633万人次，比去年同期减少了15.1％，其中国际航线209万人次，占了33.1％，比去年同期增加8.9％。	[]
国内航线则有424万人次，占了66.9％，比去年同期滑落23.4％，已经是从民国87年开始，连续3年下降。	[]
国际卸货运量也比去年同期成长11.4％，国内线则是衰退了7.7％，高雄国际机场国际客运航线也以香港71万人次居首，澳门航线38万人次居次，曼谷航线19万人次排名第三。	[]
继续是国际新闻。	[]
北韩最高领导人金正日今天在北韩时间23号下午3点突然前往平壤百花院迎宾馆和23号早上抵达平壤的美国国务卿奥尔布赖特就北韩研发飞弹、反恐怖活动等等阻碍北韩和美国关系正常化的问题进行3个小时的会谈。	[26, 26, 6]
在会谈举行2个小时之后奥尔布赖特和金正日两人曾经休息了10分钟，因为会谈的时间超出预计的时间。	[6]
一般相信对于终止北韩研发飞弹计划、反恐怖活动、美国和北韩关系正常化，以及美国总统克林顿的平壤之行等等问题有了相当的进展。	[26]
金正日提前会晤奥尔布赖特，也使得奥卿在平壤的访问行程大幅调动，她原定和北韩国防委员会第一副委员长兼人民军总政治局局长赵明录、最高人民会议常任委员长金永南、外交部长白南纯举行会谈，以及观赏世界一流水准的平壤杂技团表演等等，也被迫延后到24号进行。	[6, 26, 6]
尤其原定23号晚上7点由赵明录主持的接风、洗尘晚宴也改在晚间8点由金正日亲自在百花院迎宾宴客。	[]
为了克林顿平壤之行铺路的奥尔布赖特将在平壤停留到25号，接着将搭乘专机寻着南、北韩黄海直航航线飞往汉城访问，向南韩总统金大中以及高层人士说明平壤之行的成果。	[26, 26, 26]
继续播报详细的新闻内容。	[]
总统府今天晚间证实，陈水扁总统指派前行政院长肖万长代表参加亚太经合会非正式领袖会议，已经获得主办国文莱的同意，肖万长经陈总统的授权以总统特使的身份出席。	[]
记者谢仁园的采访报导。	[]
原本预料陈水扁总统在27号的扁连会中和国民党主席连战提及有关前行政院长，现任国民党副主席肖万长代表陈总统参加亚太经合会大量正式领袖会议的可能性。	[6]
不过总统府在27号收到主办国文莱的回复后宣布，肖万长将以总统特使的身份参加apec非正式领袖会议。	[]
总统府秘书长尤希昆说：“肖万长先生代表总统前往参加亚太经合会。”	[]
尤希昆表示，日前陈总统亲自打电话给肖万长询问他的意愿，肖万长表示同意之后，为尊重国民党，总统也亲自致电主席连战。	[7, 7]
至于肖万长并不是以官方身份出席是否具有代表性，尤希昆指出，既然是总统指派，总统就会授权。	[]
肖万长代表政府，而且还有其他相关人员的随行，所以发言的内容和议题会有所讨论。	[]
《台北国际之声》记者谢仁园总统府报导。	[]
荷兰医疗团队在26号推翻了长时间被困在狭小空间里可能会引发血栓导致猝死的“经济舱症候群”的相关性。	[]
他们主张说并没有充分的证据显示“经济舱症候群”却有其事，而且人们是过度的夸大了这种可能性。	[]
根据27号的报导指出，日前有一名健康的英国女性在经过了20个小时的飞行之后在住进大厅，突然昏倒后送医不治。	[22]
而医师指出，这名死者是因为发生了血栓，而血栓流入了心脏，造成了猝死，也就是所谓的“经济舱症候群”。	[22]
在医学上提倡重视健康的人士指出，每年有好几千名的乘客因为深度的静脉栓塞而丧生。	[22]
而这个致命疾病的主因是因为长时间没有活动，或者是拥挤的座位阻碍到腿部的血液循环而增加了血栓发生的机率。	[]
不过这种现象在机率当中是相当罕见的，因为病发致死可能会在搭机的一个月之后才会发生，也就是血栓到达于肺部和心脏的时候。	[]
不过荷兰阿姆斯特丹大学的研究小组则是指出，这种说法并没有证据支持。	[]
他们在即将于28号出版的《四个针》期刊当中指出，先前的实验并没有适当的运用控制组，也就是并没有任何的医疗问题的研究对象，因此是无法对任何风险来做出公平比较的。	[]
香港的中国人权民运信息中心今天透露，先前被中共当局以“颠覆罪”判处重刑的6名中国民主党领导人的家属今天联名写信给全国人大常务委员会，要求他们敦促中共遵守《国际人权公约》，释放被判刑的政治犯。	[18, 7, 17, 18]
目前正在狱中服刑的民主党创办人王友才的妻子胡江霞表示，为了敦促中共遵守两项保障人权的公约，她和5名民主党创办人包括吴玉龙、祝正明、毛庆祥、朱玉夫以及徐光的妻子共同联署发表一封公开信，要求人大立法，明确保障人权，并且释放所有被判刑的政治犯。	[7, 17, 18]
虽然中共当局在1997年跟98年底先后签署了两项《经济、文化、社会和公民权利》跟《政治权利保障人权》的国际公约，但是在98年底中共就拘捕了中国民主党创办人，包括王友才及徐文丽等20多名党员，当中多名核心成员还被当局以“颠覆罪”判处重刑。	[10, 18]
恢复服务的航班包括香港至台北，以及台北到香港航班。	[]
发言人又说由于台北天气好转希望明天恢复所有18班往返香港与台北的航班。	[]
另外香港机场管理局也宣布到下午5点为止，香港飞往台北的班机有6班，飞往高雄的有1班。	[26, 26]
台北桃园中正机场昨天晚上发生空难的意外，中正机场今天封闭，加上台湾天气恶劣，今天上午香港往返台北、高雄的航班服务全部停顿。	[]
除了导致大批旅客包括许多准备前往台北采访空难的新闻记者滞留在香港机场，直到下午2：17分日本亚细亚航空公司开出第一班离港到台北的班机才疏导了滞留在机场的旅客。	[26, 26]
日本检方1号针对去年发生在资城县东海村的油燃加工厂不慎外泄事故起诉6名工厂的员工，这起事故是自从车诺比尔核电厂以来，全球最为严重的核子意外灾害。	[19]
日本时事新闻社和nhk2号报道，因为东海村油燃料加工厂去年9月发生核灾事故而被起诉的6名员工，包括因为作业不慎引发事故的3名现场作业员之一的滕川丰和、54岁的前所长月岛间三，月岛因为涉嫌违反日本核子安全法和代忽监督职守在上个月被逮。	[19, 10]
在东海村核灾事故当中3名现场作业员以钢桶将多达16公斤的过量油燃料注入沉淀槽而引起了临界反应，3个人遭到大量幅射线的照射，有2个人在医院丧生，唯一生还者恒川后来出院回家，这起事故造成了至少439人遭到幅射照射，并且迫使临近地区的32万名原著民躲在家中避难长达1天以上，目前东海村油燃料加工厂仍然维持关闭的状态。	[24, 22, 24]
报道指出警方怀疑员工缺乏安全训练是造成这起严重核子意外事故的主要原因。	[]
以上这节新闻是由徐仁月编辑，秋丽玲播报，谢谢您的收听，这里是《cbs台北国际之声》，新闻广播网，祝您晚安。	[]
美国与北韩谈论代表3号在吉隆坡结束为期3天的飞弹会谈，讨论限制北韩长城飞弹研发信号问题。	[6]
美国方面声称这次会谈富有实质性和建设性。	[6]
美国代表团领队助理国务卿艾恩宏3号在声明中表示，这次会谈双方代表在议题上已经达成一致，象是北韩飞弹出口和原有飞弹计划等等。	[6]
不过一些重大的议题仍然有待进一步的协商之后解决。	[]
至于美国总统克林顿是否访问平壤的问题，艾恩宏表示，将等他们回报华府之后再决定下一步的作法。	[26]
北韩代表团成员则是向记者表示，会谈的气氛严肃，但是十分具有建设性。	[6]
不过目前还没有消息传出，美国和北韩下一回合的会谈将在什么时候举行，也无法得知这次会中双方达成了哪些协议。	[6]
这次在克林顿明年1月卸任前召开的飞弹会谈有助于北韩这个贫穷国家结束过去几十年来独立于国际社会的局面，朝向获得国际社会认可的目标前进。	[28, 6]
这场发生在10月31号造成82人丧生的新航飞安事故，桃园地方法院地检署不排除以“业务过失致死”起诉新航的3名机师。	[22, 11]
行政院飞航安全委员会主任委员刘维奇今天表示，在国际上并没有这种惯例，地检署最好还是多做一些考量。	[]
而飞安委员会也会收集国际上处理飞安的资料，提供检方做进一步的参考。	[]
继续是记者曾国华的报导。	[]
一向是航空界飞安纪录模范生的新加坡航空日前在桃园中正国际机场起飞时，因为机师误闯跑道冲撞护栏，造成机身爆炸起火，目前已经确定有82人死亡。	[22]
而由于肇事原因指向人为因素，因此桃园地检署也积极的介入办案，并不排除以“业务过失致死”起诉3位机师。	[22, 11]
不过飞安委员会对检方的动作则持保留的态度。	[]
飞安委员会主委刘维奇6号在出席立法院交通委员会时说，检方对于飞安委员会的全责，以及航空器失事调查作业并不了解，因此在飞安事故发生之后，国内还是比对国外调查的模式比较好。	[]
而如果检方主动介入这次调查，并加以起诉机师，这虽然合乎国内的法律，却将创下国际的惯例，因此最好还是慎重一点。	[11]
刘维奇说：“这点我建议最好慎重、审慎一点，因为国际上真正讲起来是没有这种惯例的。	[]
所以就是以我们国家纯粹的法律来做事的话，也必须要好好考虑一下。	[]
”刘维奇说，他们将替检方收集一些国际上处理飞安事故的作法资料提供检方做进一步的参考，否则这将恐怕引来国际舆论的抨击，将台湾列为拒绝往来的国家。	[]
《台北国际之声》记者曾国华台北报导。	[]
根据伊拉克新闻社报导，伊拉克两架民航机6号分别飞越南北两个禁航区。	[26]
伊拉克新闻社表示，这两架飞机分别从首都巴格达重新开幕的海山国际机场起飞，一架飞往距离巴格达600公里的南部城市巴斯拉，另外一架向北飞往距离首都450公里的摩斯沃尔。	[26, 26, 26]
班机上分别载有8名乘客和14名乘客。	[]
伊拉克航空公司昨天5号派遣两架老旧的俄罗斯制造的客机飞越禁航区，这是自1991年波斯湾战争以来的第一次。	[26]
在伊拉克南北禁航区执行禁航任务的美英两国在一个星期就表示，他们不反对这类的民航飞行，因为禁航区只是在禁止军事活动。	[]
另外联合国官员也表示，根据联合国制裁行动，伊拉克飞机飞越禁航区的行动是违法的。	[26]
在李前总统开刀的消息方面。	[]
国立台湾大学附属医院今天针对李前总统病情做最新的说明。	[]
医师表示，李前总统目前状况稳定，已经可以下床走动，精神状况很好，预计最快下周一可以出院。	[]
前总统李登辉昨天上午因为心脏冠状动脉狭窄住进了国立台湾大学附属医院，进行气球扩张手术，引发各界高度的关切。	[]
台大医院表示，李前总统开刀之后一直在稳定的恢复当中，目前血压132，72毫米汞柱，心跳每分钟72次，呼吸状况平稳，主动脉伤口愈合良好，已经可以下床走动，精神的状况也不错。	[]
前总统医疗小组召集人年文宾医师指出，虽然气球扩张手术非常普遍，不过毕竟是侵入性的治疗，5天之内可能会有急性问题，虽然可能性不大，不过最好还是下周一或周二再来出诊。	[]
而美商雅虎公司宣布并购台湾最大的入口网站奇摩站，震撼网路市场。	[2]
对此新浪网台湾地区总经理江现冰表示，最近还会有好几波相同的案例出现。	[]
而为了延续商机他预测，大中华地区的网站间的合并动作将会持续下去。	[2]
同样也是记者温佳瑜的报导。	[]
针对美商雅虎公司9号宣布购并奇摩网站一事，奇摩网台湾区总经理江现冰认为，这代表大中华的市场日趋成熟，因此吸引美国的主流业者进军中国与台湾，而这次的购并只是其中的第一步。	[2]
江现冰认为网站公司为延续商业机制，因此相继会有许多公司会有并购的情形。	[2]
“那是大中国公司这边比较特殊，大部分还是packcompany，它不是一个公开上市的公司，所以它会借由并购的方式来延续它的商业机制。	[2]
我想未来还会看到许多会有这样并购或是收编，或者是靠航，最后可能会形成几个集团的情形。”	[2, 3]
江现冰表示，在大陆与台湾的网路市场中排名二、三名的公司现在都会感受到这波的压力，因此网站公司会思考类似购并计划。	[2]
而对于这样现象他表示不感到意外。	[]
另外财团法人资讯工业促进会董事长黄河明也发表意见表示，台湾市场规模太小，网路经济除了依旧会出现大者横大的现象外，竞争国际市场将是无法不可抵挡的趋势。	[]
例如与其他国家较小的网站形成跨国性的联盟，或是透过肄业联盟的方式来维持竞争力。	[3]
《台北国际之声》记者温佳瑜台北报导。	[]
继续是大陆地区以及国际的重要新闻。	[]
首先我们先来看两岸合作打击犯罪的消息。	[]
内政部警政署刑事警察局明年将以打击毒品犯罪名义派遣5名干员赴大陆与中国公安合作打击海峡两岸犯罪，但是合作的管道还没有建立之前就已经传出四海帮帮主杨光南等8名台湾黑社会分子在大陆上海被捕的消息。	[26, 10]
刑事警察局侦察科已经去函海峡交流基金会，要求海基会协调大陆海峡两岸关系协会将日前被中共公安逮捕的四海帮帮主杨光南等人遣返回台湾。	[7, 10, 26]
刑事局侦察科科长高政生表示，虽然海基会还没有接获大陆海协会通知，有关杨光南等黑社会分子在上海遭中共公安逮捕的消息，但是今后刑事组透过私人管道查证，已经证实杨光南在上海被捕。	[10, 10]
去年3月间杨光南首度在上海被捕，根据指出，是参加四海帮元老老贾亲戚的婚礼之后转往金色年代酒店时，在店内碰上了本省踞龙头地位的天道盟。	[10, 26]
由于双方早先为了抢占上海地盘存有心结，当时言谈之间再度爆发了不愉快，大打出手。	[4]
上海公安顺势将他们一网成擒，杨光南也成为不受欢迎人士，遣返出境到澳门。	[10, 14]
四海帮帮主杨光南在上海再度被捕，道上消息指出，杨光南之所以会被大陆公安锁定，与他在大陆经常掀起帮派之间的争端有直接的关系。	[10]
菲律宾总统埃斯特拉达9号指控一位控诉他从非法赌博业者收取贿赂的过去朋友曾经提供他2亿菲律宾比索，大约是400万美元的贿赂款。	[31, 31]
埃斯特拉达在接受三家电视台的访问时表示，他这位过去的酒友，也就是省长辛森曾经将从非法赌博业者所取得的汇款存入一间银行的账户。	[31]
这是埃斯特拉达第一次针对辛森曾上个月指控他收取非法赌博业者800万美元的贿赂作出直接的回应。	[19, 31]
埃斯特拉达表示，这笔钱仍然原封不动的在银行中。	[]
有关于埃斯特拉达收取贿赂的指控已经引发各界要求埃斯特拉达下台。	[19, 28]
现年63岁的埃斯特拉达否认这项指控，并且誓言会在将来参议院的弹劾审判当中为自己强烈的辩护。	[19, 20]
埃斯特拉达解释，当辛森试图将这2亿比索的汇款给他的时候，他不愿意接受，因为当时他还是市长的身份，而他表示不会接触非法的钱，尤其他是总统。	[31]
埃斯特拉达表示，他后来将这笔汇款放到了一个回教少年奖学金中，他并且强调，现在这笔钱仍然原封不动的在那里。	[31]
他并且重申，他无罪，也不会辞职下台。	[28]
埃斯特拉达表示，他希望整个弹劾程序能够加速的进行，以便提出他这方面的说法。	[]
印尼的雅奇省11号估计有大约40万的民众连续第两天集会示威，支持就雅奇独立问题举行公民投票。	[5]
雅奇省位在苏门达腊岛的北端，蕴藏丰富的石油，这项集会是为了要求就自治问题举行投票而发起的。	[5]
集会本身开始之后气氛相当平和，示威群众的车队喧嚣绕行首府班达雅奇市街道时警方也没有采取任何的阻止行动。	[5, 5]
不过根据警方和居民的报告，在全省各地又有5个人丧生，死的示威民众从8号开始班达雅奇集会以来的死亡人数增加到了31人。	[22, 22, 5, 22]
绕行班达雅奇市区的示威车队有多达数千辆车子，其中包括了卡车、巴士、小巴士、轿车、摩托车和机动三轮车。	[]
车上的民众高喊着“自由”。	[]
10号是这次示威大会的第一天，雅奇省的警方发言人估计有38万800千的民众参加，他们不畏铁丝网、枪击和军警所设的路障，由各地涌进了市区。	[5, 26]
而11号游行车队的行列绵延将近5公里，估计大约有40万人参加。	[]
美国“雅虎”创办人杨志远9号在台湾宣布并购台湾第一大入口网站精诚资讯奇摩站。	[2]
“雅虎”将发行222万股普通股，以大约1亿5000万美元的价格取得奇摩站及香港奇摩站的所有权、经营权以及股票选择权。	[]
杨志远表示，“雅虎”希望借由这个合作案尽快建立在大中华地区的入口网站地位。	[]
而台湾在大中华地区具有战略地位。	[]
无论内容制作或是电子商务，都有很大的发展潜力。	[]
奇摩站的经营团队可以协助“雅虎”拓展大中华市场。	[]
根据奥地利救灾组织的统计，在阿尔卑斯山登山缆车失火惨剧中丧生的155名乘客中包括有1999年世界女子花式滑雪冠军施密特。	[22]
调查单位仍然无法断定事故发生的原因。	[]
但是指出，乘客的滑雪服装和设备都是易燃材料。	[]
奥地利一处滑雪胜地的登山缆车11号在阿尔卑斯山隧道发生缆车失火惨剧。	[]
事发后有18名乘客及时逃脱存活，以至有155人不幸罹难。	[22]
包括53名奥地利人、42名德国人、17名日本人、8名美国人、2名斯洛伐尼亚人和1名克罗埃西亚人。	[]
而且还有其它受难者的国籍仍然有待确定。	[]
德国媒体在13号报道指出，1999年世界女子花式滑雪冠军施密特跟她的双亲都不幸在这场灾难中罹难。	[22]
最不可能发生火灾的高山赏雪登山缆车，竟然在深入隧道600公尺处失火，奥地利调查单位仍然无法了解真正肇事的原因。	[]
另外奥地利部分媒体报道，这列登山缆车载有柴油、爆竹，甚至有缆车被安装炸弹的传闻。	[]
奥地利负责公共安全的官员强调，现在对缆车意外提出任何的猜测都是不负责任的，调查还在进行中。	[]
所有负责的奥地利检察人员、医疗跟救难人员都将全力投入调查和救援的工作。	[]
接着为您报道11月26号世界各地主要报纸头条新闻标题。	[]
美国《华盛顿邮报》：美国共和党总统候选人小布什放弃海外军人选票诉讼案。	[19]
美国《洛杉矶时报》：美国联邦最高法院同意受理小布什提出的选票上诉案，决定12月1号举行选票争议听证会。	[19, 20]
日本《独卖新闻》：荷兰海牙召开的防止地球暖化公约第6届会议破裂，与会国没有能够答成任何协议。	[]
新加坡《海峡时报》：东南亚国家协会推动一连串行动计划，新加坡首先推动一体化计划，将提供技术援助柬甫寨、辽国、缅甸和越南。	[]
泰国《曼谷新报》：泰国南部水患渐趋缓和，总理川力佩前往灾区视察。	[26]
泰国《亚洲日报》：东协10国加上中共、日本和南韩的非正式领袖高峰会达成电子框架协议。	[6]
香港《苹果日报》：全球三分之一的黑面皮鹭飞到香港过冬。	[]
香港《公正报》：中共总理朱容基要求远华走私案的主谋赖昌星引渡回大陆受审。	[8, 26, 20]
土耳基《每日新闻报》：伊拉克班机20年来首次飞航叙利亚。	[]
美国国务院发言人鲍瑞什表示，美国21号搁置因为中国大陆飞弹和相关技术出口问题而对中共实施的制裁。	[]
他表示，美国欢迎中共先前发布的声明，中共提出明确的政策承诺不会以任何的方式协助其它国家发展可以用来投送核子武器的导弹飞弹。	[]
